ta	tb	tc	td	te	tf	tg	th	ti	tj	tk	tl	tm	tn
0.0798394	0.1041421	-0.03001501	-0.02335167	0.1378661	-0.1480888	-0.05910432	0.03855299	0.01926173	0.03898064	-0.08842772	0.04142794	0.01788794	0.006633198
1.09639	1.095872	0.9703779	0.9840893	1.141239	0.8262404	0.934659	1.059951	1.00235	1.037961	0.9042779	1.10961	1.013468	0.9848766
2.112113	2.087013	1.9777	1.991511	2.146605	1.799259	1.929437	2.077544	1.988224	2.034357	1.897222	2.175548	2.009066	1.963995
3.125161	3.077948	2.991563	2.998575	3.153996	2.771624	2.925464	3.092034	2.976636	3.029337	2.890728	3.236099	3.004778	2.944879
4.13487	4.068871	4.010993	4.004936	4.161843	3.743876	3.9233	4.103479	3.967575	4.023211	3.885429	4.288338	4.000579	3.928173
5.140766	5.060209	5.034335	5.010266	5.169482	4.716678	4.925577	5.112027	4.961536	5.016898	4.881835	5.330454	4.996529	4.913593
6.142159	6.051944	6.06072	6.01426	6.176476	5.692102	5.932536	6.117625	5.958415	6.010231	5.880131	6.361235	5.990726	5.901415
7.139271	7.042964	7.089274	7.017071	7.182814	6.673157	6.943666	7.120323	6.957168	7.004018	6.880169	7.379785	6.982467	6.892581
8.13147	8.033803	8.118979	8.019038	8.186659	7.660373	7.958276	8.120321	7.957114	7.999159	7.881809	8.384773	7.972097	7.887506
9.118842	9.025475	9.148159	9.018487	9.187181	8.653941	8.976237	9.118249	8.958166	8.995481	8.884522	9.379156	8.959793	8.885859
10.10201	10.01753	10.17545	10.0153	10.18293	9.653728	9.997543	10.11563	9.960176	9.992953	9.888082	10.36458	9.946042	9.88708
11.08203	11.00997	11.2001	11.00978	11.17291	10.65927	11.0211	11.11356	10.96295	10.99152	10.89215	11.3424	10.93137	10.8909
12.0601	12.00301	12.22151	12.00246	12.15772	11.67056	12.04582	12.11252	11.96626	11.99087	11.89664	12.31429	11.91513	11.89649
13.03742	12.99619	13.23928	12.99365	13.13831	12.68785	13.07057	13.11258	12.97029	12.99097	12.9023	13.28454	12.89769	12.90315
14.01515	13.98958	14.25321	13.98384	14.11549	13.70988	14.09427	14.11241	13.97479	13.99203	13.90901	14.25637	13.87978	13.91002
14.99432	14.9834	15.26352	14.97407	15.08975	14.73558	15.11596	15.11164	14.97971	14.99413	14.9165	15.2309	14.86191	14.91628
15.97529	15.97784	16.27106	15.96486	16.06167	15.76381	16.13546	16.11038	15.98494	15.99714	15.92465	16.20766	15.84486	15.92229
16.95869	16.97334	17.27621	16.95573	17.03258	16.79338	17.15315	17.10903	16.99022	17.00079	16.933	17.18576	16.82926	16.92756
17.94565	17.97011	18.27932	17.94654	18.00401	17.82316	18.16874	18.10695	17.99521	18.00454	17.94131	18.16624	17.81544	17.93193
18.93663	18.96795	19.28063	18.93771	18.97742	18.85204	19.18206	19.10424	18.99992	19.00811	18.94924	19.14987	18.80376	18.93532
19.9318	19.96648	20.28065	19.92961	19.95331	19.87901	20.19308	20.10089	20.00422	20.01143	19.95642	20.13559	19.79447	19.93773
20.92992	20.96554	21.27997	20.92252	20.93144	20.90308	21.20196	21.09673	21.00797	21.01448	20.96294	21.12114	20.78765	20.94006
21.9293	21.96499	22.27914	21.91683	21.91146	21.92373	22.20893	22.09212	22.0111	22.01701	21.96947	22.10446	21.78325	21.94439
22.9292	22.9648	23.27834	22.91263	22.89311	22.94022	23.21435	23.08722	23.01358	23.01902	22.97574	23.08503	22.78106	22.95065
23.92995	23.96507	24.27708	23.90992	23.87645	23.95214	24.21829	24.08206	24.01537	24.02049	23.98157	24.06104	23.78069	23.95737
24.93357	24.96569	25.27564	24.90858	24.86179	24.95998	25.21937	25.07717	25.01663	25.0214	24.98756	25.03229	24.7817	24.96425
25.94016	25.96642	26.2743	25.9083	25.84926	25.96544	26.21792	26.07315	26.01771	26.02236	25.99364	26.00034	25.78359	25.97065
26.94839	26.96712	27.27315	26.90866	26.83884	26.97092	27.21488	27.0702	27.01914	27.02361	26.99975	26.96608	26.78513	26.97638
27.95748	27.96776	28.27081	27.90917	27.83005	27.97735	28.21143	28.06792	28.02119	28.02461	28.00708	27.93005	27.78609	27.98133
28.96762	28.9679	29.26693	28.90902	28.82216	28.98554	29.2086	29.06688	29.02321	29.02293	29.01576	28.894	28.78616	28.98555
29.97877	29.96687	30.26163	29.90566	29.81429	29.99622	30.2071	30.06763	30.0254	30.01864	30.02542	29.86016	29.78492	29.98948
30.98984	30.96425	31.25508	30.89821	30.80451	31.00996	31.20674	31.06937	31.02854	31.01218	31.03575	30.82949	30.78207	30.9936
32.00098	31.95928	32.2473	31.88777	31.79258	32.02718	32.20585	32.0714	32.03244	32.00398	32.04639	31.80281	31.77748	31.99803
33.01154	32.95327	33.2384	32.87563	32.77836	33.04806	33.20487	33.07407	33.0369	32.99398	33.05695	32.78082	32.77106	33.00274
34.02075	33.94647	34.22855	33.86212	33.76129	34.07258	34.20414	34.07786	34.04161	33.98264	34.06706	33.76478	33.76304	34.0075
35.02802	34.93935	35.2179	34.84781	34.74096	35.10049	35.20382	35.08247	35.04623	34.96952	35.07636	34.75643	34.75582	35.01151
36.03326	35.93274	36.2066	35.83424	35.7176	36.12975	36.20398	36.08728	36.05044	35.95529	36.0845	35.75549	35.75023	36.01439
37.03629	36.92731	37.19493	36.82233	36.69236	37.15859	37.20455	37.09202	37.05414	36.94117	37.09118	36.76175	36.74646	37.01597
38.03643	37.9236	38.18336	37.81249	37.66741	38.18674	38.20483	38.09649	38.05739	37.92785	38.09634	37.77516	37.74467	38.01658
39.0323	38.92202	39.17192	38.8051	38.64405	39.21416	39.20443	39.10249	39.06006	38.91623	39.10173	38.79557	38.74492	39.01757
40.02435	39.92286	40.16063	39.80042	39.62489	40.2416	40.20321	40.1112	40.06225	39.90721	40.10766	39.82186	39.74627	40.01886
41.01363	40.9262	41.14952	40.7986	40.61039	41.26815	41.201	41.12197	41.0658	40.90155	41.11357	40.85288	40.74841	41.02017
42.00097	41.93161	42.13863	41.79968	41.60029	42.2929	42.19761	42.13408	42.07107	41.89969	42.11932	41.88674	41.75203	42.02147
42.9872	42.93864	43.12815	42.80317	42.59409	43.31485	43.19282	43.14674	43.07785	42.90179	43.12525	42.91912	42.75849	43.02321
43.97383	43.94705	44.11824	43.809	43.59117	44.33303	44.1865	44.15913	44.08588	43.90779	44.13129	43.9488	43.7678	44.02546
44.9629	44.95648	45.10907	44.81715	44.59005	45.3467	45.17936	45.17017	45.09488	44.91755	45.13731	44.97541	44.78084	45.02779
45.95599	45.96645	46.10067	45.82742	45.58995	46.35521	46.17165	46.1793	46.1045	45.93087	46.1427	45.99921	45.79793	46.029
46.95456	46.97655	47.0927	46.83955	46.59117	47.35773	47.16311	47.18622	47.11435	46.94715	47.1472	47.01909	46.81853	47.02792
47.96168	47.98657	48.08524	47.8532	47.59454	48.35404	48.15355	48.19088	48.12409	47.96561	48.1507	48.03413	47.84203	48.02515
48.97878	48.9962	49.07849	48.86793	48.59986	49.34488	49.14228	49.19262	49.13344	48.9853	49.15317	49.04197	48.86782	49.02129
50.00523	50.005	50.07254	49.88326	49.6069	50.3304	50.12887	50.19136	50.14231	50.00533	50.15482	50.04178	49.89513	50.01649
51.03876	51.01242	51.06544	50.89875	50.61534	51.31114	51.11452	51.18717	51.15069	51.02501	51.15582	51.03535	50.92315	51.01095
52.07755	52.01853	52.05663	51.91468	51.62424	52.28832	52.1	52.1802	52.15815	52.04358	52.15617	52.02463	51.95239	52.00509
53.11869	53.02398	53.04617	52.93072	52.63293	53.26337	53.08541	53.17074	53.16329	53.06004	53.1557	53.01023	52.98336	52.9997
54.16066	54.02927	54.03454	53.94606	53.64143	54.2369	54.07088	54.1592	54.16592	54.07343	54.1533	53.99281	54.01498	53.99499
55.20245	55.03432	55.02203	54.95825	54.65113	55.2095	55.05595	55.146	55.16723	55.08294	55.14959	54.97308	55.04656	54.99092
56.24307	56.03903	56.00851	55.96656	55.66327	56.18179	56.04018	56.13169	56.1673	56.08781	56.14518	55.95177	56.07713	55.98759
57.28062	57.04342	56.99519	56.97116	56.67789	57.15451	57.02398	57.11637	57.16622	57.08708	57.1406	56.92963	57.10578	56.98533
58.31458	58.04735	57.98397	57.97369	57.69505	58.12772	58.00773	58.10075	58.16488	58.08396	58.13604	57.90773	58.13149	57.98429
59.34451	59.05092	58.97531	58.97592	58.71628	59.10173	58.99176	59.08572	59.16235	59.08094	59.13116	58.88664	59.15295	58.98447
60.36981	60.05533	59.96945	59.97499	59.74135	60.07634	59.97656	60.07217	60.15801	60.0779	60.12637	59.86669	60.16962	59.9858
61.39009	61.05822	60.96648	60.97166	60.76873	61.05213	60.96316	61.06058	61.1517	61.07483	61.12227	60.84865	61.1812	60.98806
62.40633	62.05835	61.96627	61.96695	61.79749	62.02977	61.95193	62.05027	62.1436	62.07235	62.11847	61.8328	62.18756	61.99106
63.41938	63.05568	62.96869	62.96102	62.82682	63.00873	62.94259	63.04144	63.13412	63.07018	63.11398	62.81931	63.1888	62.99424
64.43056	64.05019	63.97359	63.95449	63.85584	63.98866	63.93456	64.03484	64.12383	64.06796	64.1095	63.80827	64.18519	63.9968
65.4404	65.04204	64.98065	64.94828	64.88365	64.96858	64.92796	65.03005	65.11343	65.06496	65.10548	64.79974	65.17716	64.9986
66.44921	66.03211	65.98975	65.94251	65.90939	65.94917	65.9229	66.02599	66.10365	66.06028	66.10029	65.79358	66.16534	65.99957
67.45735	67.02068	67.00098	66.93728	66.93192	66.93139	66.91817	67.02305	67.09521	67.05338	67.09477	66.78884	67.15199	66.99868
